이름,꽃,주소,위도,경도
서울창포원 붓꽃원,"창포 , 붓꽃 , 꽃나리 , 튤립",서울특별시 도봉구 마들로 916(도봉동 4-1번지 일대),37.689609,127.047916
도봉구청,"금계국 , 사계장미 , 벚꽃 , 개나리 , 벚꽃 , 접시꽃 , 루드베키아 , 매화",서울특별시 도봉구 마들로 656,37.668732,127.047101
발바닥공원,"목련 , 철쭉 , 매화",서울특별시 도봉구 시루봉로6길 33,37.659701,127.031059
동일로,벚꽃,서울특별시 노원구 동일로 1342,37.648785,127.062952
당현천변,"벚꽃 , 양귀비 , 안개초 , 개나리 , 철쭉",서울특별시 노원구 상계동 759-1,37.648602,127.064902
불암산 스타디움,"벚꽃 , 개나리",서울특별시 노원구 공릉동 141,37.638657,127.084358
월계로,아팝나무,서울특별시 노원구 월계로,37.62833,127.055837
경춘선 숲길,"벚꽃 , 장미 , 흰말채나무 , 민들레 , 루드베키아 , 코스모스",서울특별시 노원구 노원로1길 121,37.62035,127.0807
북서울 꿈의 숲,"벚꽃 , 장미",서울특별시 강북구 월계로 173 북서울 꿈의숲,37.62151,127.0408
오동근린공원,"찔레 , 진달래 , 개나리 , 철쭉 , 아카시아 , 때죽나무",서울특별시 강북구 번2동,37.62994,127.034
중랑장미공원,"장미 , 사피니아",서울특별시 중랑구 묵제2동 중랑천로,37.6009,127.0739
삼양로19길,벚꽃,서울특별시 강북구 삼양로 19길,37.61675,127.0168
오패산로,"벚꽃 , 진달래",서울특별시 성북구 오패산로,37.60705,127.0369
중랑구,"철쭉 , 장미",서울특별시 중랑구,37.59779,127.0929
중랑캠핑숲,"배꽃 , 벚꽃, 조팝나무 , 복사꽃",서울특별시 중랑구 망우로87길 110,37.60515,127.1104
중랑천,"꽃양귀비 , 튤립 , 코스모스 , 장미",서울특별시 동대문구 이문제2동,37.60241,127.0664
경희대학교,"목련 , 벚꽃 , 매화 , 개나리",서울특별시 동대문구 경희대로 26,37.59672,127.0513
아리랑고개길,"벚꽃 , 장미",서울특별시 성북구 동선동1가,37.59234,127.0182
개운산근린공원,벚꽃,서울특별시 성북구 북악산로 949-73,37.59818,127.0255
성북천,"조팝나무 , 벚꽃 , 나팔꽃 , 국화 , 백화",서울특별시 성북구 동선동,37.5938,127.018
중랑교,"벚꽃 , 장미 , 철쭉",서울특별시 동대문구 휘경제2동 34-48,37.59112,127.0665
서울시립대학교,"살구나무 , 벚꽃",서울특별시 동대문구 서울시립대로 163,37.58343,127.06
사가정로,이팝나무,서울특별시 동대문구 사가정로 148?,37.57666,127.0605
망우산,"벚꽃 , 개나리 , 조팝나무 , 진달래 , 철쭉 , 복숭아꽃",서울특별시 중랑구 망우본동 94-1,37.59943,127.1115
수표로,이팝나무,서울특별시 종로구 종로2가 43-1,37.57045,126.9892
청계천변,"산수유 , 개나리 , 매화 , 이팝나무 , 팬지꽃 , 복수초",서울특별시 종로구 서린동 148,37.56947,126.979
아차산,"진달래 , 벚꽃 , 맥문동",서울특별시 광진구 중곡제4동 143-127,37.56097,127.0913
남산공원,"벚꽃 , 개나리 , 철쭉 , 해바라기 , 코스모스 , 핑크뮬리",서울특별시 중구 삼일대로 231,37.55595,126.992
대현산,장미,서울특별시 성동구 행당동,37.55774,127.036
숭례문,"목련 , 미선나무 , 국화",서울특별시 중구 세종대로 40,37.55996,126.9753
뚝섬,"능소화 , 살구나무 , 매화 , 개나리 , 진달래 , 복숭아꽃",서울특별시 광진구 능동로 10,37.53195,127.0669
어린이대공원,"개나리 , 감나무 , 능소화 , 벚꽃 , 목련 , 배나무 , 사과나무",서울특별시 광진구 능동로 216,37.54963,127.0816
반포서래섬,유채꽃,서울특별시 서초구 신반포로11길 40,37.5098,126.9953
국립서울현충원,"벚꽃 , 산수유 , 개나리",서울특별시 동작구 현충로 210,37.50295,126.9688
우면산 드림코스,벚꽃,서울특별시 서초구 우면동 산34-6,37.46852,127.0179
양재천변,"유채꽃 , 철쭉 , 붓꽃 , 진달래 , 조팝나무",서울특별시 서초구 양재1동,37.47094,127.0271
자연학습장,"작약꽃 , 아카시아 , 허브 , 라벤더 , 율무 , 붓꽃 , 양귀비 , 데이지 , 패랭이 , 할미꽃",서울특별시 송파구 잠실동,37.50684,127.083
청계산,"진달래 , 매화 , 제비꽃 , 붓꽃",서울특별시 서초구 매헌로16길 12 청계산황구,37.467,127.0351
양재대로,개나리,서울특별시 송파구 송파동,37.50537,127.1135
성내천,"벚꽃 , 배롱나무 , 능소화 , 백일홍",서울특별시 송파구 신천동,37.52319,127.0992
로데오거리,조팝나무 ,서울특별시 성동구 천호대로 316,37.56475,127.0547
허브천문공원,허브,서울특별시 강동구 둔촌동 산86,37.53731,127.1542
봉천로,벚꽃,서울특별시 관악구 봉천동,37.47807,126.9534
양녕로,벚꽃,서울특별시 동작구 상도1동,37.50331,126.9507
낙성대로,벚꽃,서울특별시 관악구 봉천동,37.47807,126.9534
관악산,"장미 , 철쭉 , 아카시아 , 노린재나무 , 팥배나무 , 둥글레 , 붓꽃",서울특별시 관악구 신림동 203,37.45856,126.9474
호암로,"벚꽃 , 개나리",서울특별시 관악구 신림동,37.46328,126.9358
도림천,"벚꽃 , 아카시아",서울특별시 관악구,37.49446,126.9264
독산자락길,"진달래 , 벚꽃 ",서울 금천구 독산동,37.4674814,126.8984821
안양천변,"유채꽃 , 장미 , 벚꽃 , 살구나무",서울특별시 영등포구 양평제2동 488,37.5395261,126.8939744
노들나루공원,"무궁화 , 매화 , 장미",서울특별시 동작구 노량진제1동 노량진로 247,37.5137161,126.9536241
상도로,이팝나무,서울특별시 동작구 상도로,37.4990835,126.9421995
한강공원,유채꽃,서울특별시 마포구 한강난지로 162,37.5627413,126.8851478
신트리공원,"튤립 , 진달래",서울특별시 양천구 신정동,37.5152788,126.8556652
등촌로,개나리,서울특별시 강서구 등촌동,37.5575204,126.8559724
국회대로,진달래 ,서울특별시 양천구 목동,37.5360022,126.8745164
달마을근린공원,"루드베키아 , 코스모스 , 메리골드",서울특별시 양천구 목동중앙본로 73,37.5433692,126.8681036
오리로,벚꽃,서울특별시 구로구 궁동,37.5004329,126.8285595
서서울 호수공원,"벚꽃 , 루드베키아 , 라벤더 , 파피루스 , 산수유 , 철쭉",서울특별시 양천구 남부순환로,37.5298069,126.8324811
우장산공원,"벚꽃 , 제비꽃 , 들꽃 , 매화 , 산수유 , 튤립 , 개나리",서울특별시 강서구 공항대로42길 51-22 ,37.5549578,126.8445754
강서구청사거리,튤립,서울특별시 강서구 공항대로 396 ,37.5558798,126.8510082
서울식물원,"튤립 , 수선화 , 무궁화",서울특별시 강서구 마곡동,37.5707127,126.8298552
궁산공원,"벚꽃 , 돌배나무",서울특별시 강서구 양천로47나길 52-54,37.5741967,126.8407789
개화역길 산책로,"수레국화 , 양귀비 , 벚꽃",서울특별시 강서구 개화동 493-3,37.57391,126.8078
꿩고개근린공원,"벚꽃 , 개나리",서울특별시 강서구 방화동,37.57594,126.8136
