이름,주소,위도,경도,연락처
노들섬,서울특별시 용산구 양녕로 445,37.517727,126.959723,02-749-4500
유네스코회관,서울특별시 중구 명동길 26,37.563428,126.983805,02-6958-4313
갈현텃밭,서울특별시 은평구 불광동 458-1,37.627757,126.92684,02-382-8001
남산 야외식물원,서울특별시 용산구 소월로 323,37.542673,126.994006,02-798-3771
노을공원,서울특별시 마포구 상암동 486-6,37.573483,126.875805,02-300-5500
신정자연텃밭농원,서울특별시 양천구 신월동 728-10,37.511591,126.826711,010-8356-7556
재한몽골학교,서울특별시 광진구 광장동 광장로 1가길 13-10,37.545457,127.098392,02-3437-7078
영국대사관,서울특별시 중구 세종대로19길 24,37.566732,126.975036,02-3210-5500
핸드픽트호텔,서울특별시 동작구 상도로 120,37.501133,126.93346,02-2229-5499
한국스카우트연맹빌딩,서울 영등포구 국회대로62길 14,37.526609,126.916425,02-732-0388
카우앤독,서울특별시 성동구 성수1가제1동 왕십리로2길 20,37.543215,127.046884,054-262-4620
CJ대한통운 서울지사,서울특별시 구로구 구로제5동,37.497427,126.892424,02-2657-7760
어린이대공원,서울특별시 광진구 능동로 216,37.549309,127.081944,02-450-9365
이비스 버젯 앰배서더 동대문 호텔,서울특별시 중구 을지로5가 273-4,37.566367,127.002022,02-079-8888
수원시 글로벌 평생학습관,경기도 수원시 팔달구 우만동 월드컵로381번길 2,37.290905,127.027863,031-248-9700
현대카드,서울특별시 영등포구 의사당대로 3,37.278602,127.03159,1577-6000
잠원한강공원 꿀벌숲,서울특별시 서초구 잠원동 잠원로 221-124,37.52914,127.021231,02-3780-0864
서울숲공원,서울특별시 성동구 뚝섬로 273,37.544331,127.03747,02-460-2905
편강한의원,서울 서초구 강남대로61길 10,37.484286,127.028407,02-555-5545
평창동,서울특별시 종로구 평창21길 80,37.612461,126.974542,02-478-1567
부즈 뿌까 양봉장,서울특별시 강남구 봉은사로50길 20,37.508641,127.04326,02-568-5038
오패산 꽃샘길,서울특별시 강북구 번동 산17-3,37.628202,127.033737,02-479-1546
노보텔 호텔 독산점,서울특별시 금천구 시흥대로 378,37.467298,126.898469,02-838-1101
이새 fnc,서울특별시 종로구 창덕궁길 29-4,37.579478,126.988572,02-763-6818
